name,overall,potential,position,birthday,height,weight,foot
Pierre-Emerick Aubameyang,86,86,ST,"(Jun 18, 1989)","6'2""",176lbs,Right
Bernd Leno,84,85,GK,"(Mar 4, 1992)","6'3""",181lbs,Right
Thomas Teye Partey,84,85,CM,"(Jun 13, 1993)","6'1""",170lbs,Right
Martin Ødegaard,83,89,CAM,"(Dec 17, 1998)","5'10""",150lbs,Left
Alexandre Lacazette,82,82,ST,"(May 28, 1991)","5'9""",170lbs,Right
Nicolas Pépé,80,83,RM,"(May 29, 1995)","6'0""",161lbs,Left
Willian Borges da Silva,80,80,RW,"(Aug 9, 1988)","5'9""",170lbs,Right
Héctor Bellerín Moruno,79,83,RB,"(Mar 19, 1995)","5'10""",163lbs,Right
Gabriel dos Santos Magalhães,79,85,CB,"(Dec 19, 1997)","6'3""",192lbs,Left
Kieran Tierney,79,86,LB,"(Jun 5, 1997)","5'10""",168lbs,Left
Granit Xhaka,79,79,CDM,"(Sep 27, 1992)","6'1""",176lbs,Left
Daniel Ceballos Fernández,79,83,CM,"(Aug 7, 1996)","5'10""",150lbs,Right
David Luiz Moreira Marinho,79,79,CB,"(Apr 22, 1987)","6'2""",190lbs,Right
Mathew Ryan,79,81,GK,"(Apr 8, 1992)","6'0""",181lbs,Right
Shkodran Mustafi,78,79,CB,"(Apr 17, 1992)","6'0""",183lbs,Right
Bukayo Saka,77,88,RM,"(Sep 5, 2001)","5'10""",143lbs,Left
Mohamed Naser Elsayed Elneny,77,78,CDM,"(Jul 11, 1992)","5'11""",163lbs,Right
Rob Holding,76,80,CB,"(Sep 20, 1995)","6'2""",179lbs,Right
Cédric Ricardo Alves Soares,76,76,RB,"(Aug 31, 1991)","5'8""",148lbs,Right
Ainsley Maitland-Niles,76,84,RWB,"(Aug 29, 1997)","5'10""",154lbs,Right
Pablo Marí Villar,75,78,CB,"(Aug 31, 1993)","6'4""",192lbs,Left
Calum Chambers,75,78,CB,"(Jan 20, 1995)","6'0""",181lbs,Right
Edward Nketiah,74,82,ST,"(May 30, 1999)","5'9""",159lbs,Right
Gabriel Teodoro Martinelli Silva,74,86,LW,"(Jun 18, 2001)","5'11""",165lbs,Right
Emile Smith Rowe,73,85,CAM,"(Jul 28, 2000)","6'0""",141lbs,Right
Reiss Nelson,72,82,RW,"(Dec 10, 1999)","5'10""",165lbs,Right
Joseph Willock,72,82,CAM,"(Aug 20, 1999)","6'1""",168lbs,Right
Rúnar Alex Rúnarsson,70,74,GK,"(Feb 18, 1995)","6'1""",168lbs,Right
Folarin Balogun,62,82,ST,"(Jul 3, 2001)","5'10""",154lbs,Right
Cătălin Cîrjan,62,78,CM,"(Dec 1, 2002)","5'9""",132lbs,Right
Miguel Azeez,60,77,CM,"(Sep 20, 2002)","5'11""",165lbs,Right
Tolaji Bola,58,69,LB,"(Jan 4, 1999)","6'2""",176lbs,Left
Ben Cottrell,56,70,CM,"(Oct 31, 2001)","5'5""",132lbs,Right
