name,overall,potential,position,birthday,height,weight,foot
Lewis Dunk,78,79,CB,"(Nov 21, 1991)","6'4""",194lbs,Right
Joël Veltman,77,78,CB,"(Jan 15, 1992)","6'0""",165lbs,Right
Neal Maupay,77,81,ST,"(Aug 14, 1996)","5'7""",152lbs,Right
Leandro Trossard,77,78,LW,"(Dec 4, 1994)","5'8""",148lbs,Right
Ben White,76,87,CB,"(Oct 8, 1997)","6'1""",170lbs,Right
Pascal Groß,76,76,CM,"(Jun 15, 1991)","5'11""",172lbs,Right
Yves Bissouma,76,83,CM,"(Aug 30, 1996)","6'0""",176lbs,Right
Davy Pröpper,76,76,CM,"(Sep 2, 1991)","6'1""",174lbs,Right
Adam David Lallana,76,76,CM,"(May 10, 1988)","5'10""",161lbs,Right
Adam Webster,75,79,CB,"(Jan 4, 1995)","6'3""",165lbs,Right
Solomon March,75,76,LM,"(Jul 20, 1994)","5'11""",170lbs,Left
Alexis Mac Allister,75,85,CAM,"(Dec 24, 1998)","5'9""",159lbs,Right
Dan Burn,75,76,CB,"(May 9, 1992)","6'6""",192lbs,Left
Alireza Jahanbakhsh,74,74,RW,"(Aug 11, 1993)","5'11""",172lbs,Right
Percy Muzi Tau,74,77,CAM,"(May 13, 1994)","5'9""",143lbs,Left
Daniel Nii Tackie Mensah Welbeck,73,73,ST,"(Nov 26, 1990)","6'1""",161lbs,Right
Tariq Lamptey,73,85,RWB,"(Sep 30, 2000)","5'4""",128lbs,Right
Florin Andone,73,73,ST,"(Apr 11, 1993)","5'11""",172lbs,Right
Christian Walton,72,78,GK,"(Nov 9, 1995)","6'5""",159lbs,Left
José Heriberto Izquierdo Mena,72,72,LM,"(Jul 7, 1992)","5'7""",165lbs,Right
Aaron Anthony Connolly,70,77,ST,"(Jan 28, 2000)","5'8""",170lbs,Right
Jakub Piotr Moder,69,82,CDM,"(Apr 7, 1999)","6'2""",172lbs,Right
Billy Vladimir Arce Mina,69,79,LM,"(Jul 12, 1998)","5'10""",146lbs,Right
Steven Alzate,68,79,CM,"(Sep 8, 1998)","5'11""",165lbs,Right
Jason Steele,67,67,GK,"(Aug 18, 1990)","6'2""",174lbs,Right
Robert Lynch Sanchez,66,75,GK,"(Nov 18, 1997)","6'6""",187lbs,Right
Andi Avdi Zeqiri,66,81,LW,"(Jun 22, 1999)","6'1""",176lbs,Left
Max Harrison Sanders,60,71,CM,"(Jan 4, 1999)","5'9""",176lbs,Right
Romaric Yapi,60,75,RB,"(Jul 13, 2000)","5'10""",154lbs,Right
Ulrick Brad Eneme Ella,59,72,CAM,"(May 22, 2001)","6'0""",165lbs,Right
Peter Gwargis,58,75,LM,"(Sep 4, 2000)","5'11""",152lbs,Left
Lars Dendoncker,55,71,CB,"(Apr 3, 2001)","6'2""",168lbs,Right
Teddy Jenks,54,71,CM,"(Mar 12, 2002)","6'3""",176lbs,Right
