name,overall,potential,position,birthday,height,weight,foot
N'Golo Kanté,88,88,CDM,"(Mar 29, 1991)","5'6""",154lbs,Right
Thiago Emiliano da Silva,85,85,CB,"(Sep 22, 1984)","6'0""",174lbs,Right
Hakim Ziyech,85,86,CAM,"(Mar 19, 1993)","5'11""",143lbs,Left
Timo Werner,84,87,ST,"(Mar 6, 1996)","5'11""",168lbs,Right
Kai Havertz,84,92,CAM,"(Jun 11, 1999)","6'2""",183lbs,Left
Mateo Kovačić,83,86,CM,"(May 6, 1994)","5'9""",176lbs,Right
Luiz Frello Filho Jorge,83,83,CM,"(Dec 20, 1991)","5'11""",150lbs,Right
César Azpilicueta Tanco,83,83,RB,"(Aug 28, 1989)","5'10""",170lbs,Right
Kurt Happy Zouma,81,84,CB,"(Oct 27, 1994)","6'3""",209lbs,Right
Ben Chilwell,81,85,LB,"(Dec 21, 1996)","5'10""",170lbs,Left
Christian Pulisic,81,87,LW,"(Sep 18, 1998)","5'10""",152lbs,Right
Antonio Rüdiger,81,83,CB,"(Mar 3, 1993)","6'3""",187lbs,Right
Édouard Mendy,80,82,GK,"(Mar 1, 1992)","6'6""",190lbs,Right
Mason Mount,80,87,CAM,"(Jan 10, 1999)","5'10""",154lbs,Right
Kepa Arrizabalaga Revuelta,80,84,GK,"(Oct 3, 1994)","6'1""",194lbs,Right
Olivier Giroud,79,79,ST,"(Sep 30, 1986)","6'4""",201lbs,Left
Marcos Alonso Mendoza,79,79,LB,"(Dec 28, 1990)","6'2""",187lbs,Left
Andreas Christensen,79,84,CB,"(Apr 10, 1996)","6'2""",181lbs,Right
Emerson Palmieri dos Santos,79,82,LB,"(Aug 3, 1994)","5'9""",174lbs,Left
Reece James,78,86,RB,"(Dec 8, 1999)","5'10""",192lbs,Right
Tammy Bakumo-Abraham,78,85,ST,"(Oct 2, 1997)","6'5""",192lbs,Right
Callum Hudson-Odoi,75,86,RW,"(Nov 7, 2000)","5'10""",174lbs,Right
Wilfredo Daniel Caballero,75,75,GK,"(Sep 28, 1981)","6'1""",183lbs,Right
Abdul Rahman Baba,75,78,LB,"(Jul 2, 1994)","5'11""",159lbs,Left
Charly Musonda Junior,73,77,RM,"(Oct 15, 1996)","5'8""",146lbs,Right
Billy Gilmour,71,86,CM,"(Jun 11, 2001)","5'7""",146lbs,Right
Dujon Sterling,67,80,RB,"(Oct 24, 1999)","5'11""",159lbs,Right
Jack Wakely,58,75,CB,"(Oct 25, 2000)","6'4""",165lbs,Right
George McEachran,58,74,CAM,"(Aug 30, 2000)","5'8""",143lbs,Left
Faustino Anjorin,57,77,CAM,"(Nov 23, 2001)","6'1""",163lbs,Right
