name,overall,potential,position,birthday,height,weight,foot
Alphonse Areola,82,86,GK,"(Feb 27, 1993)","6'5""",207lbs,Right
André-Franck Zambo Anguissa,77,81,CM,"(Nov 16, 1995)","6'0""",172lbs,Right
Ruben Loftus-Cheek,77,82,CM,"(Jan 23, 1996)","6'3""",194lbs,Right
Joachim Andersen,76,82,CB,"(May 31, 1996)","6'4""",198lbs,Right
Mario Lemina,76,77,CM,"(Sep 1, 1993)","6'0""",187lbs,Right
Ademola Lookman,76,84,LM,"(Oct 20, 1997)","5'9""",157lbs,Right
Tom Cairney,76,76,CAM,"(Jan 20, 1991)","6'1""",185lbs,Left
Aleksandar Mitrović,76,79,ST,"(Sep 16, 1994)","6'2""",198lbs,Right
Kenny Tete,76,80,RB,"(Oct 9, 1995)","5'11""",157lbs,Right
Jean Michaël Seri,75,75,CM,"(Jul 19, 1991)","5'7""",161lbs,Right
Temitayo Olufisayo Olaoluwa Aina,74,80,RB,"(Oct 8, 1996)","6'0""",181lbs,Right
Bobby De Cordova-Reid,74,74,RM,"(Feb 2, 1993)","5'7""",150lbs,Right
Ivan Ricardo Neves Abreu Cavaleiro,74,74,LM,"(Oct 18, 1993)","5'9""",176lbs,Right
Joe Bryan,74,75,LB,"(Sep 17, 1993)","5'9""",168lbs,Left
Marek Rodák,74,81,GK,"(Dec 13, 1996)","6'5""",190lbs,Right
Antonee Robinson,73,81,LB,"(Aug 8, 1997)","6'0""",154lbs,Left
Harrison Reed,73,78,CDM,"(Jan 27, 1995)","5'7""",159lbs,Right
Fabricio Martín Agosto Ramírez,73,73,GK,"(Dec 17, 1987)","6'0""",176lbs,Right
Oluwatosin Adarabioyo,72,82,CB,"(Sep 24, 1997)","6'5""",172lbs,Right
Michael Hector,72,74,CB,"(Jul 19, 1992)","6'4""",181lbs,Right
Terence Kongolo,71,76,CB,"(Feb 14, 1994)","6'2""",154lbs,Left
Denis Odoi,71,71,RB,"(May 27, 1988)","5'10""",159lbs,Right
Neeskens Kebano,70,70,LW,"(Mar 10, 1992)","5'7""",143lbs,Right
Aboubakar Kamara,70,73,ST,"(Mar 7, 1995)","5'10""",179lbs,Right
Maxime Le Marchand,70,70,CB,"(Oct 11, 1989)","6'1""",172lbs,Left
Josh Onomah,69,78,CM,"(Apr 27, 1997)","6'1""",154lbs,Right
Tim Ream,69,69,CB,"(Oct 5, 1987)","6'2""",176lbs,Left
Kevin McDonald,69,69,CDM,"(Nov 4, 1988)","6'4""",212lbs,Right
Sylvester Jasper,61,78,LM,"(Sep 13, 2000)","5'8""",157lbs,Right
Martell Taylor-Crossdale,60,74,ST,"(Dec 26, 1999)","6'1""",170lbs,Right
Jaydn Josiah Mundle-Smith,59,71,LB,"(Dec 17, 1999)","6'0""",165lbs,Left
Fabio Carvalho,58,80,CAM,"(Aug 30, 2002)","5'7""",139lbs,Right
Tyrese Jay Francois,57,74,CM,"(Jul 16, 2000)","5'7""",132lbs,Left
