name,overall,potential,position,birthday,height,weight,foot
Raphael Dias Belloli,81,85,RM,"(Dec 14, 1996)","5'9""",150lbs,Left
Rodrigo Moreno Machado,81,81,CAM,"(Mar 6, 1991)","6'0""",170lbs,Left
Kalvin Phillips,78,83,CDM,"(Dec 2, 1995)","5'10""",159lbs,Right
Robin Koch,77,84,CB,"(Jul 17, 1996)","6'3""",183lbs,Right
Diego Javier Llorente Ríos,76,79,CB,"(Aug 16, 1993)","6'1""",168lbs,Right
Luke Ayling,75,75,RB,"(Aug 25, 1991)","6'1""",159lbs,Right
Mateusz Klich,75,75,CM,"(Jun 13, 1990)","6'0""",181lbs,Right
Patrick Bamford,75,76,ST,"(Sep 5, 1993)","6'1""",157lbs,Left
Pablo Hernández Domínguez,75,75,CAM,"(Apr 11, 1985)","5'8""",146lbs,Right
Stuart Dallas,74,74,LB,"(Apr 19, 1991)","6'0""",179lbs,Right
Liam Cooper,74,75,CB,"(Aug 30, 1991)","6'2""",161lbs,Left
Jack Harrison,74,80,LM,"(Nov 20, 1996)","5'9""",154lbs,Left
Hélder Wander Sousa Azevedo Costa,74,74,RM,"(Jan 12, 1994)","5'10""",170lbs,Left
Illan Meslier,73,85,GK,"(Mar 2, 2000)","6'5""",163lbs,Left
Ezgjan Alioski,73,73,LB,"(Feb 12, 1992)","5'8""",139lbs,Left
Francisco Casilla Cortés,72,72,GK,"(Oct 2, 1986)","6'3""",190lbs,Right
Tyler Roberts,70,79,CAM,"(Jan 12, 1999)","5'11""",165lbs,Right
Adam Forshaw,70,70,CDM,"(Oct 8, 1991)","5'9""",157lbs,Right
Gaetano Berardi,70,70,CB,"(Aug 21, 1988)","5'10""",159lbs,Right
Ian Carlo Poveda-Ocampo,67,80,RM,"(Feb 9, 2000)","5'6""",141lbs,Left
Crysencio Summerville,67,80,RW,"(Oct 30, 2001)","5'9""",141lbs,Right
Pascal Struijk,66,80,CB,"(Aug 11, 1999)","6'3""",174lbs,Left
Jamie Shackleton,66,79,CM,"(Oct 8, 1999)","5'6""",143lbs,Right
Leif Davis,64,77,LB,"(Jan 12, 2000)","5'10""",148lbs,Left
Jay-Roy Grot,63,70,LW,"(Mar 13, 1998)","6'4""",216lbs,Right
Joe Gelhardt,62,81,ST,"(May 4, 2002)","5'9""",168lbs,Left
Cody Drameh,61,81,RB,"(Dec 8, 2001)","6'0""",161lbs,Right
Oliver Casey,61,76,CB,"(Dec 19, 2000)","6'2""",172lbs,Right
Sam Greenwood,61,79,CF,"(Jan 26, 2002)","5'11""",165lbs,Right
Ouasim Bouy,61,62,CB,"(Jun 11, 1993)","5'11""",174lbs,Left
Elia Caprile,60,78,GK,"(Aug 25, 2001)","6'3""",163lbs,Right
Charlie Cresswell,58,76,CB,"(Aug 17, 2002)","6'3""",176lbs,Right
Liam McCarron,57,75,LM,"(Mar 7, 2001)","5'9""",134lbs,Left
