name,overall,potential,position,birthday,height,weight,foot
Jamie Vardy,87,87,ST,"(Jan 11, 1987)","5'10""",163lbs,Right
Kasper Schmeichel,85,85,GK,"(Nov 5, 1986)","6'2""",196lbs,Right
Ricardo Domingos Barbosa Pereira,85,86,RB,"(Oct 6, 1993)","5'9""",154lbs,Right
Onyinye Wilfred Ndidi,84,88,CDM,"(Dec 16, 1996)","6'0""",163lbs,Right
Youri Tielemans,83,86,CM,"(May 7, 1997)","5'9""",159lbs,Right
James Maddison,82,86,CAM,"(Nov 23, 1996)","5'9""",161lbs,Right
Jonathan Grant Evans,80,80,CB,"(Jan 3, 1988)","6'2""",170lbs,Right
Harvey Lewis Barnes,80,85,LW,"(Dec 9, 1997)","5'11""",146lbs,Right
Çağlar Söyüncü,80,85,CB,"(May 23, 1996)","6'1""",181lbs,Right
Ayoze Pérez Gutiérrez,78,78,RW,"(Jul 29, 1993)","5'10""",159lbs,Right
Dennis Praet,78,80,CM,"(May 14, 1994)","5'11""",172lbs,Right
Timothy Castagne,77,80,RM,"(Dec 5, 1995)","5'11""",176lbs,Right
Cengiz Ünder,77,82,RM,"(Jul 14, 1997)","5'8""",146lbs,Left
James Justin,76,81,LWB,"(Feb 23, 1998)","6'0""",176lbs,Right
Marc Albrighton,76,76,RM,"(Nov 18, 1989)","5'9""",163lbs,Right
Nampalys Mendy,76,76,CDM,"(Jun 23, 1992)","5'6""",161lbs,Right
Wesley Fofana,75,85,CB,"(Dec 17, 2000)","6'3""",168lbs,Right
Danny Ward,74,74,GK,"(Jun 22, 1993)","6'3""",194lbs,Right
Christian Fuchs,74,74,CB,"(Apr 7, 1986)","6'2""",196lbs,Left
Demarai Gray,74,77,LM,"(Jun 28, 1996)","5'11""",163lbs,Right
Kelechi Promise Iheanacho,73,78,ST,"(Oct 3, 1996)","6'1""",181lbs,Left
Daniel Amartey,73,76,RB,"(Dec 21, 1994)","6'1""",174lbs,Right
Hamza Choudhury,73,77,CDM,"(Oct 1, 1997)","5'10""",141lbs,Right
Wes Morgan,72,72,CB,"(Jan 21, 1984)","6'1""",223lbs,Right
Luke Thomas,65,79,LB,"(Jun 10, 2001)","5'10""",150lbs,Left
Eldin Jakupović,65,65,GK,"(Oct 2, 1984)","6'3""",187lbs,Right
Sidnei Wilson Vieira David Tavares,61,77,CAM,"(Sep 29, 2001)","5'11""",141lbs,Right
Callum Wright,61,75,CM,"(May 2, 2000)","6'0""",159lbs,Right
Mitchell Clark,61,71,RB,"(Mar 13, 1999)","5'8""",150lbs,Right
Layton Ndukwu,60,69,CAM,"(Sep 7, 1998)","5'10""",159lbs,Left
Thakgalo Khanya Leshabela,59,72,CAM,"(Sep 18, 1999)","5'9""",159lbs,Right
Thanawat Suengchitthawon,59,73,CAM,"(Jan 8, 2000)","5'6""",123lbs,Right
Ali Reghba,58,72,ST,"(Jan 14, 2000)","5'11""",159lbs,Right
