name,overall,potential,position,birthday,height,weight,foot
Alisson Ramsés Becker,90,91,GK,"(Oct 2, 1992)","6'3""",201lbs,Right
Mohamed Salah Ghaly,90,90,RW,"(Jun 15, 1992)","5'9""",157lbs,Left
Sadio Mané,90,90,LW,"(Apr 10, 1992)","5'9""",152lbs,Right
Virgil van Dijk,90,91,CB,"(Jul 8, 1991)","6'4""",203lbs,Right
Trent Alexander-Arnold,87,92,RB,"(Oct 7, 1998)","5'11""",152lbs,Right
Fábio Henrique Tavares,87,89,CDM,"(Oct 23, 1993)","6'2""",172lbs,Right
Andrew Robertson,87,89,LB,"(Mar 11, 1994)","5'10""",141lbs,Left
Jordan Brian Henderson,86,86,CDM,"(Jun 17, 1990)","6'0""",176lbs,Right
Roberto Firmino Barbosa de Oliveira,86,86,CF,"(Oct 2, 1991)","5'11""",168lbs,Right
Georginio Wijnaldum,85,85,CM,"(Nov 11, 1990)","5'9""",152lbs,Right
Thiago Alcântara do Nascimento,85,85,CM,"(Apr 11, 1991)","5'9""",154lbs,Right
Joël Andre Job Matip,83,84,CB,"(Aug 8, 1991)","6'4""",198lbs,Right
Joe Gomez,83,88,CB,"(May 23, 1997)","6'2""",170lbs,Right
Diogo José Teixeira da Silva,82,87,LW,"(Dec 4, 1996)","5'10""",161lbs,Right
Naby Deco Keïta,81,85,CM,"(Feb 10, 1995)","5'8""",141lbs,Right
Xherdan Shaqiri,80,80,RW,"(Oct 10, 1991)","5'7""",159lbs,Left
James Philip Milner,79,79,CM,"(Jan 4, 1986)","5'9""",154lbs,Right
Alex Oxlade-Chamberlain,79,80,CM,"(Aug 15, 1993)","5'9""",154lbs,Right
Divock Okoth Origi,77,82,ST,"(Apr 18, 1995)","6'2""",165lbs,Right
南野 拓実,76,77,RW,"(Jan 16, 1995)","5'9""",148lbs,Right
Konstantinos Tsimikas,76,81,LB,"(May 12, 1996)","5'10""",150lbs,Left
Adrián San Miguel del Castillo,74,74,GK,"(Jan 3, 1987)","6'3""",176lbs,Right
Curtis Jones,71,86,CM,"(Jan 30, 2001)","6'1""",150lbs,Right
Neco Williams,68,85,RB,"(Apr 13, 2001)","6'0""",159lbs,Right
Nathaniel Phillips,68,75,CB,"(Mar 21, 1997)","6'3""",185lbs,Right
Benjamin Woodburn,65,75,CAM,"(Oct 15, 1999)","5'9""",159lbs,Right
Caoimhin Kelleher,64,76,GK,"(Nov 23, 1998)","6'2""",163lbs,Right
Sepp van den Berg,64,79,CB,"(Dec 20, 2001)","6'4""",172lbs,Right
Rhys Williams,62,81,CB,"(Feb 3, 2001)","6'5""",168lbs,Right
Yasser Larouci,61,78,LB,"(Jan 1, 2001)","5'9""",152lbs,Left
Paul Glatzel,59,79,ST,"(Feb 20, 2001)","5'9""",148lbs,Left
Billy Koumetio,57,79,CB,"(Nov 14, 2002)","6'5""",179lbs,Left
Joe Hardy,55,66,ST,"(Sep 26, 1998)","5'7""",146lbs,Right
