name,overall,potential,position,birthday,height,weight,foot
Kevin De Bruyne,91,91,CM,"(Jun 28, 1991)","5'11""",154lbs,Right
Ederson Santana de Moraes,88,91,GK,"(Aug 17, 1993)","6'2""",190lbs,Left
Raheem Shaquille Sterling,88,89,LW,"(Dec 8, 1994)","5'7""",152lbs,Right
Sergio Leonel Agüero del Castillo,88,88,ST,"(Jun 2, 1988)","5'8""",154lbs,Right
Aymeric Laporte,87,90,CB,"(May 27, 1994)","6'2""",187lbs,Left
Bernardo Mota Veiga de Carvalho e Silva,86,87,CAM,"(Aug 10, 1994)","5'8""",141lbs,Left
Kyle Walker,85,85,RB,"(May 28, 1990)","6'0""",183lbs,Right
Rodrigo Hernández Cascante,85,88,CDM,"(Jun 22, 1996)","6'3""",181lbs,Right
Riyad Mahrez,85,85,RW,"(Feb 21, 1991)","5'10""",148lbs,Left
Fernando Luiz Rosa,85,85,CDM,"(May 4, 1985)","5'10""",148lbs,Right
João Pedro Cavaco Cancelo,84,87,RB,"(May 27, 1994)","6'0""",163lbs,Right
İlkay Gündoğan,83,83,CM,"(Oct 24, 1990)","5'11""",176lbs,Right
Gabriel Fernando de Jesus,83,87,ST,"(Apr 3, 1997)","5'9""",161lbs,Right
Rúben dos Santos Gato Alves Dias,82,87,CB,"(May 14, 1997)","6'2""",181lbs,Right
John Stones,81,84,CB,"(May 28, 1994)","6'2""",154lbs,Right
Philip Foden,81,91,CAM,"(May 28, 2000)","5'7""",152lbs,Left
Ferran Torres García,80,88,RW,"(Feb 29, 2000)","6'0""",170lbs,Right
Benjamin Mendy,80,83,LB,"(Jul 17, 1994)","6'1""",187lbs,Left
Oleksandr Zinchenko,79,84,LB,"(Dec 15, 1996)","5'9""",141lbs,Left
Nathan Aké,79,83,CB,"(Feb 18, 1995)","5'11""",165lbs,Left
Zack Steffen,77,82,GK,"(Apr 2, 1995)","6'3""",190lbs,Right
Eric García Martret,73,85,CB,"(Jan 9, 2001)","6'0""",174lbs,Right
Philippe Sandler,69,77,CB,"(Feb 10, 1997)","6'3""",181lbs,Right
Scott Carson,68,68,GK,"(Sep 3, 1985)","6'3""",190lbs,Right
Claudio Gomes,65,78,CDM,"(Jul 23, 2000)","5'11""",154lbs,Right
Liam Delap,64,84,ST,"(Feb 8, 2003)","6'1""",159lbs,Right
Jayden Braaf,63,84,LW,"(Aug 31, 2002)","5'10""",150lbs,Right
Thomas Doyle,62,81,CM,"(Oct 17, 2001)","5'8""",159lbs,Right
Felix Kalu Nmecha,62,79,CAM,"(Oct 10, 2000)","6'1""",163lbs,Right
Adrián Bernabé García,61,77,CAM,"(May 26, 2001)","5'9""",150lbs,Left
Taylor Harwood-Bellis,61,82,CB,"(Jan 30, 2002)","6'2""",159lbs,Right
Cole Palmer,59,77,CAM,"(May 6, 2002)","6'2""",163lbs,Left
Yeboah Amankwah,56,73,CB,"(Oct 19, 2000)","6'2""",172lbs,Right
