name,overall,potential,position,birthday,height,weight,foot
Bruno Miguel Borges Fernandes,88,91,CAM,"(Sep 8, 1994)","5'10""",152lbs,Right
David De Gea Quintana,86,86,GK,"(Nov 7, 1990)","6'4""",181lbs,Right
Paul Pogba,86,87,CM,"(Mar 15, 1993)","6'3""",185lbs,Right
Marcus Rashford,85,91,LM,"(Oct 31, 1997)","6'1""",154lbs,Right
Alex Nicolao Telles,84,84,LB,"(Dec 15, 1992)","5'11""",157lbs,Left
Edinson Roberto Cavani Gómez,84,84,ST,"(Feb 14, 1987)","6'1""",170lbs,Right
Aaron Wan-Bissaka,83,88,RB,"(Nov 26, 1997)","6'0""",159lbs,Right
Anthony Martial,83,87,ST,"(Dec 5, 1995)","6'0""",168lbs,Right
Harry Maguire,82,85,CB,"(Mar 5, 1993)","6'4""",220lbs,Right
Donny van de Beek,82,87,CM,"(Apr 18, 1997)","6'0""",163lbs,Right
Frederico Rodrigues Santos,81,83,CDM,"(Mar 5, 1993)","5'7""",137lbs,Left
Luke Shaw,80,83,LB,"(Jul 12, 1995)","5'11""",165lbs,Left
Nemanja Matić,80,80,CDM,"(Aug 1, 1988)","6'4""",183lbs,Left
Scott McTominay,80,85,CDM,"(Dec 8, 1996)","6'4""",194lbs,Right
Dean Henderson,80,87,GK,"(Mar 12, 1997)","6'3""",187lbs,Right
Eric Bertrand Bailly,79,82,CB,"(Apr 12, 1994)","6'1""",170lbs,Right
Victor Nilsson Lindelöf,79,83,CB,"(Jul 17, 1994)","6'2""",176lbs,Right
Juan Manuel Mata García,79,79,CAM,"(Apr 28, 1988)","5'7""",139lbs,Left
Sergio Germán Romero,79,79,GK,"(Feb 22, 1987)","6'4""",190lbs,Right
Mason Greenwood,77,89,RM,"(Oct 1, 2001)","5'11""",154lbs,Left
Jesse Lingard,77,77,CAM,"(Dec 15, 1992)","5'9""",137lbs,Right
Daniel James,76,82,RM,"(Nov 10, 1997)","5'7""",168lbs,Right
Odion Jude Ighalo,75,75,ST,"(Jun 16, 1989)","6'0""",161lbs,Right
Brandon Williams,75,83,LB,"(Sep 3, 2000)","6'0""",139lbs,Right
Phil Jones,75,75,CB,"(Feb 21, 1992)","6'1""",157lbs,Right
Faustino Marcos Alberto Rojo,75,75,CB,"(Mar 20, 1990)","6'2""",187lbs,Left
Axel Tuanzebe,74,81,CB,"(Nov 14, 1997)","6'1""",165lbs,Right
Facundo Pellistri Rebollo,71,87,RM,"(Dec 20, 2001)","5'9""",143lbs,Right
Lee Grant,69,69,GK,"(Jan 27, 1983)","6'4""",183lbs,Right
Teden Mengi,64,82,CB,"(Apr 30, 2002)","6'0""",172lbs,Right
Amad Diallo Traoré,64,84,ST,"(Jul 11, 2002)","5'8""",159lbs,Left
Ethan Stuart William Galbraith,64,81,CDM,"(May 11, 2001)","5'9""",148lbs,Right
Dylan Levitt,63,80,CM,"(Nov 17, 2000)","5'11""",163lbs,Right
