name,overall,potential,position,birthday,height,weight,foot
Sander Gard Bolin Berge,78,84,CDM,"(Feb 18, 1998)","6'5""",212lbs,Right
Jack O'Connell,78,82,CB,"(Mar 29, 1994)","6'3""",187lbs,Left
John Egan,77,79,CB,"(Oct 20, 1992)","6'2""",165lbs,Right
George Baldock,76,77,RWB,"(Mar 9, 1993)","5'9""",148lbs,Right
Chris Basham,76,76,CB,"(Jul 20, 1988)","6'3""",176lbs,Right
Enda Stevens,76,76,LWB,"(Jul 9, 1990)","6'0""",172lbs,Left
Oliver Norwood,75,75,CM,"(Apr 12, 1991)","5'9""",152lbs,Right
John Fleck,75,75,CM,"(Aug 24, 1991)","5'7""",159lbs,Left
Aaron Ramsdale,74,80,GK,"(May 14, 1998)","6'2""",170lbs,Right
John Lundstram,74,76,CM,"(Feb 18, 1994)","5'11""",163lbs,Right
Ben Osborn,74,77,LWB,"(Aug 5, 1994)","5'9""",165lbs,Left
Oliver McBurnie,73,77,ST,"(Jun 4, 1996)","6'3""",170lbs,Right
David McGoldrick,73,73,ST,"(Nov 29, 1987)","6'0""",163lbs,Right
Jayden Bogle,73,84,RWB,"(Jul 27, 2000)","5'10""",152lbs,Right
Lys Mousset,73,77,ST,"(Feb 8, 1996)","6'0""",176lbs,Right
Billy Sharp,72,72,ST,"(Feb 5, 1986)","5'9""",154lbs,Right
Max Lowe,72,81,LWB,"(May 11, 1997)","5'9""",163lbs,Left
Wesley Foderingham,71,71,GK,"(Jan 14, 1991)","6'1""",165lbs,Left
Phil Jagielka,71,71,CB,"(Aug 17, 1982)","5'11""",192lbs,Right
Jack Robinson,70,71,CB,"(Sep 1, 1993)","5'11""",148lbs,Left
Rhian Brewster,70,84,ST,"(Apr 1, 2000)","5'11""",165lbs,Right
Michael Verrips,69,76,GK,"(Dec 3, 1996)","6'5""",198lbs,Right
Ethan Ampadu,67,84,CB,"(Sep 14, 2000)","6'0""",172lbs,Right
Oliver Burke,67,72,ST,"(Apr 7, 1997)","6'2""",181lbs,Right
Jack Rodwell,67,67,CB,"(Mar 11, 1991)","6'2""",172lbs,Right
Simon Moore,67,67,GK,"(May 19, 1990)","6'3""",183lbs,Right
Kean Bryan,63,72,CB,"(Nov 1, 1996)","6'1""",159lbs,Left
Jake Eastwood,62,70,GK,"(Oct 3, 1996)","6'3""",179lbs,Right
Zak Brunt,57,77,CAM,"(Nov 17, 2001)","5'9""",154lbs,Right
Marcus Dewhurst,55,73,GK,"(Mar 20, 2001)","6'2""",154lbs,Right
Kyron Gordon,52,70,CB,"(May 24, 2002)","6'1""",154lbs,Right
Jean Leroy-Belehouan,51,65,LWB,"(Sep 1, 2000)","6'3""",192lbs,Left
Harry Boyes,50,61,LWB,"(Jun 16, 1998)","5'11""",154lbs,Left
