name,overall,potential,position,birthday,height,weight,foot
손흥민 孙兴慜,89,89,LM,"(Jul 8, 1992)","6'0""",172lbs,Right
Harry Kane,89,90,ST,"(Jul 28, 1993)","6'2""",196lbs,Right
Hugo Lloris,87,87,GK,"(Dec 26, 1986)","6'2""",181lbs,Left
Toby Alderweireld,85,85,CB,"(Mar 2, 1989)","6'1""",179lbs,Right
Sergio Reguilón Rodríguez,82,87,LB,"(Dec 16, 1996)","5'10""",150lbs,Left
Pierre-Emile Højbjerg,82,86,CDM,"(Aug 5, 1995)","6'1""",185lbs,Right
Steven Bergwijn,82,87,LM,"(Oct 8, 1997)","5'10""",172lbs,Right
Gareth Frank Bale,82,82,RM,"(Jul 16, 1989)","6'1""",181lbs,Left
Giovani Lo Celso,82,87,CM,"(Apr 9, 1996)","5'10""",150lbs,Left
Lucas Rodrigues Moura da Silva,82,82,RM,"(Aug 13, 1992)","5'9""",154lbs,Right
Serge Aurier,81,81,RB,"(Dec 24, 1992)","5'9""",163lbs,Right
Eric Dier,81,83,CB,"(Jan 15, 1994)","6'3""",198lbs,Right
Tanguy Ndombèlé Alvaro,81,88,CAM,"(Dec 28, 1996)","5'10""",168lbs,Right
Bamidele Alli,81,85,CAM,"(Apr 11, 1996)","6'2""",176lbs,Right
Moussa Sissoko,80,80,CDM,"(Aug 16, 1989)","6'2""",201lbs,Right
Matt Doherty,80,80,RWB,"(Jan 16, 1992)","6'0""",192lbs,Right
Ben Davies,80,81,LB,"(Apr 24, 1993)","6'0""",168lbs,Left
Davinson Sánchez Mina,80,83,CB,"(Jun 12, 1996)","6'2""",174lbs,Right
Erik Lamela,80,80,RM,"(Mar 4, 1992)","6'0""",176lbs,Left
Carlos Vinícius Alves Morais,79,84,ST,"(Mar 22, 1995)","6'3""",183lbs,Left
Harry Winks,79,84,CDM,"(Feb 2, 1996)","5'9""",163lbs,Right
Joe Hart,76,76,GK,"(Apr 19, 1987)","6'5""",201lbs,Right
Paulo Dino Gazzaniga,76,78,GK,"(Jan 2, 1992)","6'5""",198lbs,Right
Danny Rose,76,76,LB,"(Jul 2, 1990)","5'9""",168lbs,Left
Gedson Carvalho Fernandes,74,83,CM,"(Jan 9, 1999)","5'11""",157lbs,Right
Japhet Tanganga,73,84,CB,"(Mar 31, 1999)","5'11""",161lbs,Right
Joe Rodon,70,81,CB,"(Oct 22, 1997)","6'4""",168lbs,Right
Alfie Whiteman,64,75,GK,"(Oct 2, 1998)","6'2""",185lbs,Right
George Marsh,63,74,RB,"(Nov 5, 1998)","5'10""",150lbs,Right
Jack Roles,63,76,CAM,"(Feb 26, 1999)","6'0""",154lbs,Left
Dennis Cirkin,61,83,LB,"(Apr 6, 2002)","6'0""",159lbs,Left
J'Neil Lloyd-Bennett,61,82,LM,"(Dec 7, 2001)","5'11""",165lbs,Right
Jamie Bowden,60,80,CDM,"(Jul 9, 2001)","6'0""",172lbs,Right
