name,overall,potential,position,birthday,height,weight,foot
Raúl Alonso Jiménez Rodríguez,84,84,ST,"(May 5, 1991)","6'2""",179lbs,Right
Rui Pedro dos Santos Patrício,83,83,GK,"(Feb 15, 1988)","6'3""",185lbs,Left
Nélson Cabral Semedo,83,84,RWB,"(Nov 16, 1993)","5'10""",152lbs,Right
Rúben Diogo da Silva Neves,82,87,CM,"(Mar 13, 1997)","5'11""",176lbs,Right
João Filipe Iria Santos Moutinho,82,82,CM,"(Sep 8, 1986)","5'7""",134lbs,Right
Jonathan Castro Otto,81,84,LWB,"(Mar 3, 1994)","5'7""",154lbs,Right
Willy Boly,80,80,CB,"(Feb 3, 1991)","6'5""",214lbs,Right
Willian José da Silva,80,80,ST,"(Nov 23, 1991)","6'2""",201lbs,Right
Conor Coady,79,81,CB,"(Feb 25, 1993)","6'1""",176lbs,Right
Romain Saïss,79,79,CB,"(Mar 26, 1990)","6'2""",185lbs,Left
Adama Traoré Diarra,79,82,RW,"(Jan 25, 1996)","5'10""",159lbs,Right
Daniel Castelo Podence,78,81,LW,"(Oct 21, 1995)","5'5""",128lbs,Right
Leander Dendoncker,78,83,CM,"(Apr 15, 1995)","6'2""",194lbs,Right
Fernando Marçal de Oliveira,76,76,LB,"(Feb 19, 1989)","5'10""",159lbs,Left
Pedro Lomba Neto,76,85,LW,"(Mar 9, 2000)","5'8""",137lbs,Left
Patrick Cutrone,74,81,ST,"(Jan 3, 1998)","6'0""",174lbs,Right
Rayan Aït Nouri,73,85,LWB,"(Jun 6, 2001)","5'10""",154lbs,Left
Morgan Gibbs-White,71,83,CAM,"(Jan 27, 2000)","5'7""",154lbs,Right
John Ruddy,70,70,GK,"(Oct 24, 1986)","6'4""",214lbs,Right
Fábio Daniel Soares Silva,69,85,ST,"(Jul 19, 2002)","6'1""",165lbs,Right
Roderick Jefferson Gonçalves Miranda,69,70,CB,"(Mar 30, 1991)","6'4""",196lbs,Right
Maximilian Kilman,67,76,CB,"(May 23, 1997)","6'5""",176lbs,Left
Ryan Giles,67,79,LWB,"(Jan 26, 2000)","5'10""",159lbs,Left
Vítor Machado Ferreira,66,83,CM,"(Feb 13, 2000)","5'8""",141lbs,Right
Ki-Jana Hoever,63,83,RB,"(Jan 18, 2002)","6'0""",159lbs,Right
Luke Matheson,62,83,RWB,"(Oct 3, 2002)","5'6""",137lbs,Right
Meritan Shabani,62,74,CAM,"(Mar 15, 1999)","6'1""",154lbs,Right
Oskar Buur Rasmussen,60,70,RWB,"(Mar 31, 1998)","5'11""",161lbs,Right
Ebeguowen Otasowie,58,75,CDM,"(Jan 6, 2001)","6'3""",194lbs,Right
Christian Fernandes Marques,58,80,CB,"(Mar 15, 2003)","6'2""",165lbs,Right
Chem Campbell,57,78,CAM,"(Dec 30, 2002)","5'11""",159lbs,Right
Taylor Perry,55,75,CM,"(Jul 15, 2001)","5'11""",159lbs,Right
Luke Cundle,54,75,CM,"(Apr 26, 2002)","5'7""",137lbs,Right
